Date,Open,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,127.760002,130.2967961,129.3468346,130.1162332,126.590011,130.4617255
2022/1/24,124.449997,129.4373312,131.2050955,128.5384316,127.25,130.3269452
2022/1/25,127.120003,124.7706056,130.4289053,123.8994398,121.139992,129.8004107
2022/1/26,132.899994,126.3708872,127.7672312,123.6665499,129.790009,130.5907044
2022/1/27,134.449997,128.8774751,133.5759765,132.8033442,138.679985,132.1657642
2022/1/28,130.0,131.4097071,135.1540847,136.0980977,136.0,133.1167338
2022/1/31,130.190002,130.853705,130.6201403,133.8804974,125.550003,132.1145875
2022/2/1,130.830002,130.7274389,130.5695376,131.1378571,130.380004,130.8343279
2022/2/2,134.350006,133.594902,131.3133058,130.5623825,131.470002,131.597662
2022/2/3,134.850006,135.0226497,132.9101425,132.6367876,137.87001,132.6298382
2022/2/4,135.009995,135.7844552,133.6660664,135.6300552,135.350006,133.5679376
2022/2/7,135.339996,135.2576408,134.1276038,137.2436833,135.169984,134.265859
2022/2/8,138.179993,135.7719495,135.0039069,136.8786615,135.669997,135.300531
2022/2/9,136.720001,138.7152022,136.7700824,137.3045235,141.01999,136.3233964
2022/2/10,137.559998,139.0737282,137.1961998,138.2663196,135.260009,137.3752649
2022/2/11,136.860001,139.2098295,138.1595125,138.6057949,138.399995,137.6454654
2022/2/14,137.940002,137.8995342,137.5806839,137.7154221,136.160004,138.524603
2022/2/15,133.080002,138.3911687,139.8336125,136.3564683,139.020003,139.0407972
2022/2/16,134.949997,136.1983177,139.7080951,135.4066743,128.220002,139.3524785
2022/2/17,134.169998,134.872482,138.5157278,132.388388,136.819992,138.4238484
2022/2/18,132.820007,133.9416604,137.0477222,132.7380271,133.389999,136.2230529
2022/2/22,137.0,131.7545595,133.1057088,131.6418398,131.470016,135.6679851
2022/2/23,132.929993,133.5235374,136.8505243,135.5421559,141.179993,134.3468122
2022/2/24,137.929993,133.4421732,133.0842034,133.8476576,128.859986,136.0230589
2022/2/25,135.960007,135.2558865,138.1344489,135.2483269,142.929993,135.8665014
2022/2/28,139.270004,138.3807543,136.380852,139.2477513,133.990021,137.7277135
2022/3/1,145.009995,137.1409107,138.6678395,136.5078558,142.580001,137.6616044
2022/3/2,150.199997,142.4077796,137.9361218,145.215327,150.749986,139.2705789
2022/3/3,152.259995,150.9004931,141.2077754,152.3242299,155.389999,145.7595906
2022/3/4,155.789993,154.4934561,158.1348745,156.1694858,154.319993,149.1315361
2022/3/7,159.899994,158.3708472,148.0519583,160.3956124,159.319991,156.5703693
2022/3/8,164.309998,162.888495,163.524275,163.6637726,164.009995,156.191344
2022/3/9,162.770004,167.8508706,156.9977988,166.7305719,168.720002,160.7872971
2022/3/10,168.740005,169.5269508,161.8398174,167.892124,161.23001,162.9410568
2022/3/11,165.889999,172.0215863,169.9855541,170.7186384,174.710006,166.4700155
2022/3/14,166.210007,171.9548268,167.584675,170.4414349,163.039993,168.7710028
2022/3/15,159.110001,170.327911,168.7427793,166.2501081,166.530015,166.7158213
2022/3/16,158.789993,160.3611691,163.8200095,161.2586549,152.009995,167.2452952
2022/3/17,159.949997,159.2006924,169.1730969,156.8664489,158.469985,168.0324632
2022/3/18,160.889999,159.2141216,171.1042832,156.6128416,161.110001,167.6519744
2022/3/21,163.020004,158.3532201,162.678543,158.3532838,161.830001,167.939157
2022/3/22,163.690002,161.4963599,170.0346448,162.9918345,165.150009,165.939847
2022/3/23,166.0,162.8854042,165.106353,164.8757856,164.36,167.4627479
2022/3/24,166.429993,165.8110709,167.2472457,166.9278699,168.309998,166.5928974
2022/3/25,165.220001,166.9950488,167.4250936,168.7204802,166.859986,166.9460543
2022/3/28,165.899994,167.9375423,166.1658236,166.6333091,164.010009,166.6826378
2022/3/29,163.509995,166.9225557,166.4569962,166.3847536,166.579987,165.5936607
2022/3/30,165.240005,164.1168277,164.1581622,163.4772313,161.119996,165.3223479
2022/3/31,163.470001,165.5086091,165.3518854,163.2697549,166.970015,164.4197015
2022/4/1,162.779999,163.8625439,163.749057,164.1912555,161.699997,164.0585406
2022/4/4,165.0,162.9836598,163.0746793,161.5630285,162.089997,163.5716793
2022/4/5,165.029999,163.1404529,163.8913016,164.0280932,167.220001,164.0163792
2022/4/6,164.830002,163.869955,165.0831568,164.4387034,165.059998,164.6619134
2022/4/7,165.100006,164.4109689,165.0112818,165.2004288,164.630005,165.1324809
2022/4/8,167.050003,164.9744434,165.3030042,166.0021334,165.37001,165.8907397
2022/4/11,168.570007,166.3108444,167.3579331,166.7759052,169.0,167.0451301
2022/4/12,168.970001,168.9257303,168.4744532,169.260185,170.090011,168.1770021
2022/4/13,170.929993,169.3968957,168.6986201,170.0485907,169.369995,169.7804155
2022/4/14,170.690002,170.8579783,172.1681731,172.1381365,172.889985,170.9114763
2022/4/18,173.0,171.659348,171.8676357,172.2410405,170.450011,172.5916968
2022/4/19,173.080002,173.6491635,173.7392817,173.0648281,175.309998,173.5036735
2022/4/20,171.619995,175.1389708,174.9041032,174.9491979,173.160004,173.5626043
2022/4/21,171.740005,173.7949238,172.0444281,173.0604404,170.159988,173.0957655
2022/4/22,164.380005,172.4493849,172.3387651,172.1513144,171.860015,170.4027115
2022/4/25,155.729996,164.3020051,166.8249414,164.4523161,157.020005,168.7032598
2022/4/26,158.820007,154.5318296,166.946073,152.7138283,147.079987,166.7489959
2022/4/27,157.080002,156.5351628,166.4759734,151.6015489,161.910018,165.8300439
2022/4/28,157.449997,154.6656204,164.0680854,150.9164665,155.339997,164.1222012
