Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE,Unnamed: 7
2022/1/21,161.226685,162.3903248,162.7483952,161.1922136,161.603943,162.7483952,163.5745512
2022/1/24,160.442444,159.7712345,163.1597529,158.6587679,159.141984,163.1597529,162.6230525
2022/1/25,158.615845,158.0968809,161.9610094,158.1041907,159.658203,161.9610094,161.6905508
2022/1/26,158.526505,156.1730532,159.9508901,156.8474873,156.789246,159.9508901,160.0645444
2022/1/27,158.059921,154.9546664,158.2817338,156.7391202,158.437165,158.2817338,158.5420811
2022/1/28,169.088974,157.6989248,157.3936195,156.9357782,157.593337,157.3936195,160.8412809
2022/1/31,173.506546,168.5730944,166.8484893,165.7519836,180.118027,166.8484893,163.8238413
2022/2/1,173.337799,174.2237821,167.2294151,176.5165195,177.924118,167.2294151,166.5956438
2022/2/2,174.558823,175.0316637,165.7090269,179.5835891,173.169052,165.7090269,166.2127039
2022/2/3,171.640244,176.8789975,165.6996696,180.880221,175.779847,165.6996696,166.12547
2022/2/4,171.35202,174.4617694,166.9677135,173.8878793,168.721665,166.9677135,166.9445437
2022/2/7,170.626404,177.7781738,168.1662479,171.3154489,171.063796,168.1662479,168.6081613
2022/2/8,173.777313,172.4533252,170.6905224,169.8062675,169.900788,170.6905224,170.9656955
2022/2/9,175.218567,174.6172394,174.0403162,171.6926015,176.928222,174.0403162,173.4386757
2022/2/10,171.083618,175.3574227,175.5851885,175.6047041,176.659821,175.5851885,173.7686741
2022/2/11,167.624573,172.495406,171.6805175,173.8197197,166.948669,171.6805175,171.8506663
2022/2/14,167.863144,169.8068407,168.2862929,167.3418762,164.165528,168.2862929,169.5035507
2022/2/15,171.749573,169.2985774,168.5438416,166.368742,168.101715,168.5438416,169.7599332
2022/2/16,171.511032,168.8824691,172.449665,167.6696983,175.636002,172.449665,171.0594984
2022/2/17,167.863144,169.0938966,172.1849885,171.3571946,171.272491,172.1849885,171.0123538
2022/2/18,166.292648,168.3644292,168.4024077,170.2746277,164.215256,168.4024077,169.7195857
2022/2/22,163.330597,166.7041611,168.5713609,166.0674406,164.722152,168.5713609,166.7949226
2022/2/23,159.106201,162.5711337,163.4109992,161.9042542,160.368546,163.4109992,163.7501388
2022/2/24,161.760101,158.3014424,159.2680562,156.8050186,154.881805,159.2680562,161.1897251
2022/2/25,163.857407,160.214506,160.89012,157.7588189,164.414001,160.89012,160.7636593
2022/2/28,164.125778,162.2371306,162.1328016,162.597581,165.954713,162.1328016,161.5585401
2022/3/1,162.217331,162.7288412,161.6526987,164.1893035,164.394149,161.6526987,160.3270935
2022/3/2,165.557114,161.3856105,157.19578,164.4648896,160.308884,157.19578,161.1262747
2022/3/3,165.22908,164.9608196,164.5303455,165.7670745,168.896897,164.5303455,161.2619047
2022/3/4,162.187515,165.4312256,162.0595885,165.9682193,164.901046,162.0595885,162.3897477
2022/3/7,158.34082,166.8655467,160.5793091,163.4898112,159.14595,160.5793091,160.7010979
2022/3/8,156.49202,158.7999164,159.464396,159.1684493,154.494125,159.464396,158.5003545
2022/3/9,161.968842,156.0058898,155.4573584,154.6420442,154.64322,155.4573584,158.566772
2022/3/10,157.565521,158.3386997,160.7785614,157.6298086,167.445664,160.7785614,157.8421051
2022/3/11,153.79834,156.3785875,157.2903954,157.3575658,153.1622,157.2903954,158.0069691
2022/3/14,149.713074,154.2655805,155.9519506,155.5500639,150.031159,155.9519506,155.4643095
2022/3/15,154.156158,150.0839138,153.1505826,149.4342675,145.627808,153.1505826,154.1577984
2022/3/16,158.629074,150.7977037,153.370862,145.4430737,158.599242,153.370862,154.6479686
2022/3/17,159.652863,153.5285514,157.4224612,157.6051309,163.10199,157.4224612,155.8656696
2022/3/18,162.99263,156.5148556,156.8036854,160.9143112,160.676652,156.8036854,156.7467318
2022/3/21,164.384201,163.0461723,156.0140488,165.4987138,166.332397,156.0140488,158.9803878
2022/3/22,167.803497,165.1603312,164.1234291,167.2554828,165.775772,164.1234291,159.6541072
2022/3/23,169.185135,169.3793298,158.8248438,168.7551839,171.222793,158.8248438,161.5168304
2022/3/24,173.021896,171.8030561,161.6022183,172.6208236,170.566773,161.6022183,164.5640796
2022/3/25,173.667984,175.5029344,173.2651767,174.3015023,176.858657,173.2651767,170.1116527
2022/3/28,174.542679,177.6293563,175.4675632,177.4570338,174.314072,175.4675632,174.8702513
2022/3/29,177.882431,178.198432,175.878014,177.1501751,175.417374,175.878014,177.1858972
2022/3/30,176.699615,180.0526634,180.2121145,179.2564033,181.222183,180.2121145,177.7925773
2022/3/31,173.55864,180.3466231,177.2876035,178.9237498,175.516799,177.2876035,177.6256299
2022/4/1,173.260437,175.4041156,175.3771716,175.6784376,170.417665,175.3771716,175.8401085
2022/4/4,177.365585,174.1833979,174.8555504,172.9249741,172.962234,174.8555504,176.2556114
2022/4/5,174.00592,177.6198525,178.5341121,175.4553267,181.470733,178.5341121,176.2894369
2022/4/6,170.79538,175.1807287,175.4786482,174.3497543,170.646255,175.4786482,175.3924111
2022/4/7,171.1035,172.8227886,172.164473,172.9943295,167.58484,172.164473,175.065467
2022/4/8,169.065857,171.0220596,177.5532799,170.2156579,171.41162,177.5532799,173.2141186
2022/4/11,164.751968,169.3357571,169.9246029,167.5776856,167.028214,169.9246029,170.9140678
2022/4/12,166.650482,165.9017769,165.2643205,164.0015752,160.438079,165.2643205,167.3650747
2022/4/13,169.373978,164.7281734,166.9063008,164.2541185,168.548996,166.9063008,165.5835164
2022/4/14,164.294739,162.0334548,164.5799277,166.7897192,172.097474,164.5799277,165.1929469
2022/4/18,164.07608,163.5865512,164.092612,165.141361,159.2155,164.092612,163.9162645
2022/4/19,166.392029,164.4211127,163.0762537,163.8589348,163.857421,163.0762537,164.0047379
2022/4/20,166.223068,164.2219174,164.8453479,164.6645682,168.707978,164.8453479,164.4659427
2022/4/21,165.417953,164.5875483,165.4762265,164.516894,166.054107,165.4762265,164.63703
2022/4/22,160.815811,167.722796,163.5895157,165.4295629,164.612838,163.5895157,163.6224734
2022/4/25,161.899261,163.0313228,161.8016779,161.3237461,156.213669,161.8016779,162.0206472
2022/4/26,155.855881,161.2712004,160.6707481,160.5506123,162.982711,160.6707481,160.5541532
2022/4/27,155.627274,159.000765,159.1900336,154.9410512,149.812501,159.1900336,158.861231
2022/4/28,162.654678,154.4280343,156.7229113,151.1519461,155.398667,156.7229113,157.7163565
2022/4/29,156.700745,154.9258034,157.2361245,158.336367,169.682082,157.2361245,156.8141523
2022/5/2,157.008896,155.2794862,156.4834211,157.9793332,150.746812,156.4834211,156.5128071
2022/5/3,158.51973,155.2599343,155.8188757,158.1380092,157.317047,155.8188757,156.0589573
2022/5/4,165.020355,156.2794669,155.8745751,157.8086045,160.030564,155.8745751,156.5546979
2022/5/5,155.82608,160.8363735,157.970643,159.5422456,171.52098,157.970643,156.7750024
2022/5/6,156.562668,159.2947079,156.479789,162.5072194,146.631805,156.479789,156.7926165
2022/5/9,151.366486,158.4021206,155.9274175,157.0567135,157.299256,155.9274175,155.3078096
2022/5/10,153.805298,154.6105458,153.5162223,151.328285,146.170304,153.5162223,154.2652134
2022/5/11,145.831848,153.4383665,153.3520004,144.9761928,156.24411,153.3520004,152.6300242
2022/5/12,141.909805,147.4756395,151.0218498,148.2506845,137.858398,151.0218498,150.3853969
2022/5/13,146.439072,141.7971073,146.7823404,139.8304215,137.987762,146.7823404,148.1163065
2022/5/16,144.876221,141.9403314,146.5447293,142.2773903,150.968339,146.5447293,146.337964
2022/5/17,148.559357,140.7570943,145.6868221,141.2331302,143.31337,145.6868221,146.0631736
2022/5/18,140.17775,142.9046528,145.9579693,148.0290518,152.242493,145.9579693,144.0962301
2022/5/19,136.723572,140.5042187,140.6438989,146.6636332,131.796143,140.6438989,141.9879534
2022/5/20,136.962463,137.7254385,139.3619921,135.3585022,133.269394,139.3619921,138.5148929
2022/5/23,142.457291,136.0216375,135.5387878,133.3924695,137.201354,135.5387878,137.3140696
2022/5/24,139.719833,137.9817244,137.0414289,136.0380477,147.952119,137.0414289,136.1383237
2022/5/25,139.87912,137.8181246,135.8347545,139.365044,136.982375,135.8347545,136.7450426
2022/5/26,143.124237,137.8151461,137.3589444,141.5551344,140.038407,137.3589444,136.0833799
2022/5/27,148.95752,139.6523816,135.0564409,143.0161449,146.369354,135.0564409,140.0982781
2022/5/31,148.161179,148.6989047,147.8794489,147.3431329,154.790803,147.8794489,143.4109695
2022/6/1,148.031769,149.2915637,147.2970188,150.632545,147.364838,147.2970188,145.5634139
2022/6/2,150.52037,150.9835225,141.5137741,152.2449698,147.902359,141.5137741,146.3543236
2022/6/3,144.716949,151.5481443,150.252178,152.2001637,153.008971,150.252178,145.4657296
2022/6/6,145.473495,150.8463394,144.6312366,146.0333684,138.913528,144.6312366,146.7984143
2022/6/7,148.031769,146.4040145,145.5118285,144.3306146,146.230041,145.5118285,146.1435773
2022/6/8,147.285187,148.3990279,148.287667,145.536397,150.590043,148.287667,147.1872283
2022/6/9,141.989441,144.455786,147.7621895,146.2070445,146.538605,147.7621895,147.0422122
2022/6/10,136.504578,143.6522943,145.0767801,144.0356896,136.693695,145.0767801,145.5807261
