Date,Adj Close,v,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,47.015171,46.69206335,46.60809311,45.96955098,46.49387,47.47228197
2022/1/24,46.877476,46.36812665,47.60031411,46.08155395,46.788948,47.15536402
2022/1/25,46.43486,46.06199672,47.25768486,46.22786013,46.739781,47.14349156
2022/1/26,45.903725,46.0225264,46.57247572,46.02504026,45.992244,46.49468965
2022/1/27,45.333252,45.38424411,45.65390839,45.69003256,45.37259,45.71008942
2022/1/28,45.68734,44.78090379,44.90388417,44.95230769,44.762779,45.20428395
2022/1/31,46.897152,45.21711049,45.05505929,44.96976425,46.041428,44.8369413
2022/2/1,46.277485,46.67437175,44.55188043,46.74584096,48.106964,45.15451852
2022/2/2,46.729935,46.18477314,45.85661584,46.54491238,45.657818,45.57789301
2022/2/3,45.480789,46.64822206,46.32518275,47.13918579,47.182385,45.76070476
2022/2/4,45.087357,46.02085116,45.10031569,46.06224178,44.231643,45.37811071
2022/2/7,44.969326,45.92901476,44.7088337,44.88302299,44.693925,44.80622488
2022/2/8,45.303745,44.92885931,44.60952525,44.39282103,44.851295,44.76716373
2022/2/9,47.192223,45.14909209,44.98313223,44.39930995,45.638164,45.58849637
2022/2/10,46.375851,45.5416663,47.17283163,47.17771951,49.080701,46.12314026
2022/2/11,44.752937,46.39747774,46.21345691,47.14478217,45.559479,46.13086054
2022/2/14,44.054596,45.73399246,45.00629309,45.72154868,43.130023,45.13091461
2022/2/15,44.998833,43.98977978,44.17299382,43.80251213,43.356255,44.47106407
2022/2/16,44.900478,44.83334791,44.23390531,43.97536585,45.94307,44.94055497
2022/2/17,43.848042,44.65692617,46.41476579,44.46150013,44.802123,45.58206449
2022/2/18,43.356258,43.7245629,46.09752238,43.89686147,42.795606,45.55664933
2022/2/22,44.546391,43.18123314,44.15765984,43.36292974,42.864474,44.78561594
2022/2/23,43.120193,44.05154118,44.10166561,43.68640044,45.736524,43.78393105
2022/2/24,43.975906,43.16319948,43.0924677,43.17555134,41.693995,43.55476665
2022/2/25,44.48737,43.68199526,43.47016665,43.69645571,44.831619,43.35237544
2022/2/28,44.143116,43.07315214,43.49449196,44.47452155,44.998834,43.49749911
2022/3/1,43.002167,43.86593851,43.52783872,44.45604991,43.798862,43.43270512
2022/3/2,44.172626,44.75512101,43.27578467,43.41686179,41.861218,43.32062465
2022/3/3,45.126701,43.35268428,43.15825057,44.17030844,45.343085,43.33747778
2022/3/4,44.261147,44.25507187,43.57839811,44.6570884,46.080776,43.43679355
2022/3/7,42.80545,44.48481664,43.57373198,44.77458882,43.395593,43.41076043
2022/3/8,42.864464,43.85473378,43.08015119,43.85873299,41.349753,43.14265027
2022/3/9,43.857883,43.13775136,42.77406764,42.56403587,42.923478,43.07333466
2022/3/10,43.090687,43.47704705,43.36578515,42.52964509,44.851302,43.16195461
2022/3/11,42.510376,43.15602752,43.34601104,42.87433282,42.323491,43.27067228
2022/3/14,42.205463,42.40670321,43.10022065,42.81920775,41.930065,43.08614822
2022/3/15,44.457867,41.90774388,42.81221296,42.03852637,41.90055,43.01103468
2022/3/16,46.110279,43.20093393,43.12067041,43.20464191,46.710271,43.23620603
2022/3/17,46.346336,46.10258108,43.77573471,46.54614808,47.762691,43.67408411
2022/3/18,46.995502,46.75281182,44.1258472,47.36025098,46.582393,44.99129649
