Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,191.785187,205.8194723,206.0833372,206.9713947,207.956544,203.9105161
2022/1/24,189.347229,196.5891641,195.8402767,194.576306,174.011429,199.3705749
2022/1/25,185.690231,188.5228571,196.1881109,184.8141945,186.909271,191.7926913
2022/1/26,182.111877,181.788079,183.3496863,176.8743266,182.033233,185.4811683
2022/1/27,180.411209,176.08973,176.9057079,173.9033077,178.533523,179.1228214
2022/1/28,182.937668,173.2410771,177.1130701,175.780455,178.710541,175.3414134
2022/1/31,186.240738,170.7666731,172.0054623,178.5986654,185.464127,174.9163597
2022/2/1,188.4133,182.0090804,175.6305466,185.4411984,189.543808,176.0531943
2022/2/2,189.219406,185.9436808,180.5235741,189.4687903,190.585862,177.8245833
2022/2/3,186.034302,189.0337709,177.3196292,191.6433842,190.025512,177.3832169
2022/2/4,184.304108,186.2971052,174.3064476,187.709285,182.849198,175.1189173
2022/2/7,183.527496,184.7926882,173.730675,184.2097334,182.573914,174.0170258
2022/2/8,183.419357,183.6806703,174.0139548,182.4524157,182.750884,176.3477269
2022/2/9,188.098709,183.5451873,181.2985509,181.5097259,183.311218,180.5593482
2022/2/10,184.176331,187.5920662,186.365539,187.4696722,192.778061,183.6290143
2022/2/11,181.295944,183.6651911,183.222953,186.5440836,180.253953,183.2959707
2022/2/14,179.811539,182.339213,180.2994202,182.5998471,178.415557,180.7874171
2022/2/15,180.145767,180.484411,178.8398782,179.0349865,178.327134,179.4971724
2022/2/16,179.713211,179.9303223,179.3522187,177.8009788,180.479995,179.1058118
2022/2/17,175.358276,178.8082142,179.1253386,178.2951012,179.280655,177.8151056
2022/2/18,175.613876,175.6878428,174.9677594,175.7965828,171.003341,177.3527812
2022/2/22,173.716568,174.0766575,177.9652456,173.8350453,175.869476,175.3773279
2022/2/23,170.128403,172.1265732,173.1989787,171.9864498,171.81926,173.1381119
2022/2/24,172.959595,170.9047601,168.2501115,168.5103812,166.540238,171.2278523
2022/2/25,177.245743,170.1981476,172.2344666,170.2810517,175.790787,171.2341878
2022/2/28,173.27417,171.9022804,173.2179854,175.0216886,181.531891,172.015938
2022/3/1,167.621582,172.6416516,170.5953621,175.0469274,169.302597,171.0357632
2022/3/2,169.921951,169.7427401,169.2939422,170.8624784,161.968994,169.4636385
2022/3/3,168.221237,169.4439471,168.5016113,168.4875729,172.22232,168.3948935
2022/3/4,165.262253,168.7354521,167.3891271,165.2394865,166.520523,167.1591248
2022/3/7,155.844528,165.4866234,165.5866361,163.6318338,162.303269,163.2347836
2022/3/8,154.074997,154.9362887,156.7285876,156.6675682,146.426803,160.3412678
2022/3/9,162.224579,151.7144131,158.7085796,150.3013445,152.305466,157.9832256
2022/3/10,159.7276,155.264743,158.5125097,154.9635629,170.374161,158.1299742
2022/3/11,156.159119,156.0058392,157.1688335,158.6203031,157.230621,157.0261658
2022/3/14,162.756973,152.7498505,155.3971543,157.4433175,152.590638,156.0666983
2022/3/15,165.508545,158.0592847,155.6341071,162.4837704,169.354827,158.3181845
2022/3/16,168.408035,164.9451584,163.923292,165.9570728,168.260117,159.2254904
2022/3/17,169.305511,168.5884323,158.119072,170.2591266,171.307525,160.6966421
2022/3/18,168.782806,170.9409156,160.0475624,175.8293621,170.202987,162.1378424
2022/3/21,168.368576,171.3991981,168.2468927,171.2030247,168.260101,165.594295
2022/3/22,173.921036,169.9580686,168.4884299,169.2985026,167.954346,169.8480878
2022/3/23,171.347,175.3838287,172.8089409,172.2583571,179.473496,170.8865887
2022/3/24,173.832291,173.885495,171.3623954,173.468052,168.772964,173.0547778
2022/3/25,175.143967,174.9599672,174.992997,175.3653336,176.317582,174.0027859
