 ,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE
2022/1/21,303.170013,316.0759702,316.6299666,315.8792868,313.53,315.935446
2022/1/24,308.709991,304.9743542,312.7264147,300.7593248,289.780028,313.3883896
2022/1/25,300.149994,301.8694889,310.8087875,302.0826816,314.249969,309.8596376
2022/1/26,294.630005,296.5781157,306.0437107,296.0463964,291.589997,306.2192055
2022/1/27,294.640015,291.383573,301.8051182,290.9593165,289.110016,299.7329225
2022/1/28,301.709991,290.8400161,291.3499386,290.3952715,294.650025,295.9040198
2022/1/31,313.26001,290.0705528,294.5570027,292.9747497,308.779967,293.7932077
2022/2/1,319.0,310.1698705,295.4726818,314.9532981,324.810029,299.6884522
2022/2/2,323.0,318.6815901,309.0356722,324.1751973,324.73999,308.6208315
2022/2/3,237.759995,325.872939,321.3541404,331.0574285,327.0,305.3007124
2022/2/4,237.089996,286.550655,285.5123247,265.0789588,152.51999,293.417073
2022/2/7,224.910004,231.5255526,273.384754,218.0601851,236.419997,259.79201
2022/2/8,220.179993,215.6777115,220.4789513,189.0995862,212.730012,242.700213
2022/2/9,232.0,206.7074038,234.2369336,185.1327933,215.449982,229.1664424
2022/2/10,228.070007,197.6672958,232.7834422,219.0873849,243.820007,229.5885374
2022/2/11,219.550003,190.275339,221.7452364,225.7800581,224.140014,223.612827
2022/2/14,217.699997,205.9613017,216.3098023,223.1491011,211.029999,216.0863318
2022/2/15,221.0,208.9077772,210.2039568,217.6879479,215.849991,211.5790987
2022/2/16,216.539993,216.8183027,208.2235369,216.7974178,224.300003,206.4575876
2022/2/17,207.710007,215.2523976,200.945269,213.6712791,212.079986,200.3502927
2022/2/18,206.160004,210.7864986,191.8820723,207.3652335,198.880021,197.3108357
2022/2/22,202.080002,203.8260024,199.1051659,202.9488434,204.610001,195.4032298
2022/2/23,198.449997,199.6750529,195.2224514,197.6607711,198.0,195.3061768
2022/2/24,207.600006,196.186932,191.5909131,193.5278479,194.819992,195.5480822
2022/2/25,210.479996,196.5746812,199.8308821,203.3573611,216.750015,198.4480293
2022/2/28,211.029999,208.0589192,203.9222926,210.9611073,213.359986,203.2097486
2022/3/1,203.490005,209.7134922,205.8760711,213.4400265,211.580002,203.4204732
2022/3/2,208.110001,203.7049442,200.4630559,210.2300127,195.950011,201.854081
2022/3/3,202.970001,208.3303494,199.2231161,208.0192822,212.729997,199.5813573
2022/3/4,200.059998,207.7992031,199.0578998,202.1876484,197.830001,198.5632057
2022/3/7,187.470001,200.0518313,197.4086012,196.4281964,197.149995,194.4707979
2022/3/8,190.289993,187.2013252,186.9458927,187.7836864,174.880004,190.7972517
2022/3/9,198.5,187.3420223,188.0372614,180.6567805,193.109985,189.1467056
2022/3/10,195.210007,188.002006,192.4569626,190.0107301,206.710007,191.4756192
2022/3/11,187.610001,189.922603,193.9326335,194.587193,191.920014,192.3648609
2022/3/14,186.630005,185.4526876,190.7049866,192.4911851,180.009995,189.944378
2022/3/15,192.029999,184.7963052,185.1955138,185.7718348,185.650009,188.666508
2022/3/16,203.630005,187.3840039,190.0990236,186.261236,197.429993,188.4410677
2022/3/17,207.839996,202.5983611,190.0286657,203.5675728,215.230011,191.1230859
2022/3/18,216.490005,202.4801277,193.2415683,211.9472298,212.049987,199.816799
2022/3/21,211.490005,219.8565364,216.180163,222.8265872,225.140014,206.9341052
2022/3/22,216.649994,215.0958671,211.3805841,221.4024479,206.490005,210.7249596
2022/3/23,213.460007,220.4765228,204.6141317,220.7360317,221.809983,207.9388743
2022/3/24,219.570007,224.3980112,207.8219069,217.0866284,210.27002,210.9316352
2022/3/25,221.820007,223.1696541,220.3588668,214.5214581,225.680007,217.4968897
2022/3/28,223.589996,224.8824253,224.3098952,226.8097031,224.070007,223.256219
2022/3/29,229.860001,225.5600636,225.099895,225.3218352,225.359985,226.9531942
2022/3/30,227.850006,228.3882358,231.4497923,231.8619307,236.130006,229.0369534
2022/3/31,222.360001,233.9227122,230.561173,232.1483739,225.840011,231.9471588
2022/4/1,224.850006,229.6032602,233.8305112,226.8338118,216.869996,230.5550915
2022/4/4,233.889999,229.2633729,227.2735904,224.8457213,227.340011,232.240426
2022/4/5,231.839996,232.7301616,235.6171765,228.1384678,242.929992,232.5235661
2022/4/6,223.300003,231.6945374,234.6799314,233.4407227,229.789993,232.6248711
2022/4/7,222.949997,228.686276,227.5775055,231.3124585,214.76001,229.0378639
2022/4/8,222.330002,225.9237112,224.8561547,222.4284639,222.599991,225.4029049
2022/4/11,216.460007,224.413005,223.7750545,219.8076704,221.710007,222.0048616
2022/4/12,214.139999,218.9218924,217.3833754,214.2849168,210.590012,218.6080435
2022/4/13,214.990005,212.7685979,214.6657007,212.0214624,211.819991,218.2329572
2022/4/14,210.179993,204.3315606,222.6497955,210.7402579,215.840011,215.8089349
2022/4/18,210.770004,208.6719682,210.1113086,207.7165093,205.369981,213.9939494
2022/4/19,217.309998,209.8646586,209.2207439,208.0697444,211.360015,212.0342097
2022/4/20,200.419998,210.3211205,216.7705767,213.966652,223.849992,210.04377
2022/4/21,188.070007,201.4310387,204.1399894,202.7560929,183.529998,201.002996
2022/4/22,184.110001,194.8989409,182.0984219,188.2809537,175.720016,188.387461
2022/4/25,186.990005,180.3916873,178.9239716,176.9847637,180.149995,179.4804774
2022/4/26,180.949997,182.0252407,177.4190386,175.335369,189.870009,178.2154878
2022/4/27,174.949997,174.2825027,178.3034531,175.3186522,174.909989,176.5957909
2022/4/28,205.729996,169.000109,174.064881,172.3728321,168.949997,177.6019855
2022/4/29,200.470001,182.4359693,180.4376225,197.0175443,236.509995,178.668843
2022/5/2,211.130005,199.1904932,181.5040255,206.3295873,195.210006,184.0844286
2022/5/3,212.029999,210.7996274,190.3116377,219.1111447,221.790009,187.6280029
2022/5/4,223.410004,215.4979914,191.0683455,232.8952118,212.929993,201.2743115
2022/5/5,208.279999,225.3418083,222.4429514,216.9698007,234.790009,204.7213363
2022/5/6,203.770004,226.357262,200.6527122,224.8095757,193.149994,208.399804
2022/5/9,196.210007,220.3862636,202.1037483,204.0296075,199.260009,199.5948167
2022/5/10,197.649994,199.0185261,196.0279896,193.3399035,188.65001,198.5485728
2022/5/11,188.740005,196.4685544,197.5139805,181.4814685,199.089981,194.8407823
2022/5/12,191.240005,187.0669817,190.9803767,183.654463,179.830016,193.2538635
2022/5/13,198.619995,185.7321017,191.2672332,183.7028107,193.740005,193.4394246
2022/5/16,200.039993,184.8320734,198.0706638,193.6385799,205.999985,196.6534194
2022/5/17,202.619995,196.9478919,200.6223613,199.4196557,201.459991,200.6756382
2022/5/18,192.240005,201.6824052,203.3338895,205.1312627,205.199997,199.2401711
2022/5/19,191.289993,194.3400085,193.7642624,198.9943395,181.860015,196.4610942
2022/5/20,193.539993,196.2550957,192.2851306,190.26895,190.339981,193.018116
2022/5/23,196.229996,195.6968026,193.0049549,189.0335946,195.789993,193.5698717
2022/5/24,181.279999,196.2133092,195.4195297,192.3471576,198.919999,189.9399308
2022/5/25,183.830002,185.7603826,181.3953078,189.3699367,166.330002,186.3645966
2022/5/26,191.630005,181.8178625,182.2789523,180.5632726,186.380005,182.493268
2022/5/27,195.130005,183.9672941,183.8055439,183.1981522,199.430008,186.0662789
2022/5/31,193.639999,189.9876882,192.1143404,192.7206422,198.630005,189.4945563
2022/6/1,188.639999,193.6549997,192.5637847,196.262509,192.149993,191.0155249
2022/6/2,198.860001,190.9319513,188.3684496,191.0354183,183.639999,191.6450343
2022/6/3,190.779999,195.0218567,194.0028685,196.559583,209.080003,191.1527723
2022/6/6,194.25,194.1765074,191.0869987,191.9389838,182.699997,192.2116977
2022/6/7,195.649994,196.1902172,191.5452258,194.6811231,197.720001,192.6790774
2022/6/8,196.639999,196.3131703,195.4050077,199.3209269,197.049988,194.3681767
2022/6/9,184.0,195.4123226,196.1542968,192.6598044,197.630004,193.594953
2022/6/10,175.570007,191.1936979,189.2255544,192.3995748,171.360001,189.0380706
2022/6/13,164.259995,182.5982098,181.7343606,172.4393809,167.140014,183.2521428
2022/6/14,163.729996,162.1825018,178.7965134,157.6206237,152.949983,174.4357637
2022/6/15,169.350006,158.9228366,162.7764171,147.2259192,163.199997,171.7435492
2022/6/16,160.869995,163.9838526,173.6577172,162.9129066,174.970016,168.4926728
2022/6/17,163.740005,152.4098289,169.043884,158.2308883,152.389984,169.1206796
2022/6/21,157.050003,158.4240026,164.6604375,161.5073123,166.610015,162.9550087
2022/6/22,155.850006,153.1816044,155.1607047,160.0609475,150.360001,157.7725609
2022/6/23,158.75,152.7185165,153.4965407,148.8115635,154.650009,154.0188674
2022/6/24,170.160004,154.4445758,153.3993567,154.9499505,161.649994,153.8511553
2022/6/27,169.490005,160.9267112,154.6575687,166.1113666,181.570008,158.4117664
2022/6/28,160.679993,165.6434221,167.1783737,172.4348749,168.820006,160.0863703
2022/6/29,163.940002,161.6524261,158.4231686,169.1852476,151.869981,162.453702
2022/6/30,161.25,167.1260141,161.7595636,164.8045278,167.200011,157.97775
2022/7/1,160.029999,165.8325655,153.750518,160.3835997,158.559998,157.9258982
2022/7/5,168.190002,161.1297524,158.2676131,154.6456175,158.809998,159.6169742
2022/7/6,169.770004,165.7434261,166.8327916,166.5108049,176.350005,164.5552653
2022/7/7,172.190002,159.6076543,168.5653912,170.9143837,171.350006,169.0097785
2022/7/8,170.880005,172.294554,171.6311527,174.6994338,174.61,170.2521464
2022/7/11,162.880005,172.2955296,170.5598953,178.5402716,169.570008,168.5794011
2022/7/12,163.270004,169.914193,163.5471554,163.8226645,154.880005,165.4248096
2022/7/13,163.490005,168.128395,162.167378,161.4799651,163.660003,164.5646418
2022/7/14,158.050003,163.6432486,167.9793919,159.4105296,163.710006,165.2660572
2022/7/15,164.699997,157.7771261,165.6514018,156.612287,152.610001,166.5188921
2022/7/18,167.229996,159.6658737,165.9258826,161.169005,171.349991,165.92205
2022/7/19,175.779999,161.1115719,166.1888656,166.4371685,169.759995,166.7275604
2022/7/20,183.089996,175.8104981,168.067933,176.9715212,184.330002,168.5083992
2022/7/21,183.169998,184.7011614,171.2683989,187.8271584,190.399993,173.4753402
2022/7/22,169.270004,186.3061838,181.0896887,190.2452285,183.25,175.945623
2022/7/25,166.649994,182.900991,175.4787813,179.3640442,155.37001,176.5896745
2022/7/26,159.149994,168.8743954,173.2005533,165.3304406,164.029984,173.3571801
2022/7/27,169.580002,159.5119935,171.3922058,154.4080633,151.649994,171.2032945
2022/7/28,160.720001,167.9441738,169.0171243,159.3785087,180.01001,168.2229394
2022/7/29,159.100006,159.5013971,164.2594881,158.7524425,151.86,166.3294152
2022/8/1,159.929993,155.1337175,165.7116331,159.9147387,157.480011,164.9523009
2022/8/2,160.190002,153.6664548,164.8857816,159.9997619,160.75998,163.4875072
2022/8/3,168.800003,157.1472775,159.865107,156.7551083,160.450011,164.5873322
